employee_id,year,month,leave_type,leave_count
1945,2023,2,HC,1
1945,2023,3,HC,1
1945,2023,3,CL,1
1945,2023,4,CA,1
1945,2023,5,HC,1
1945,2023,5,CL,1
1945,2023,5,CL,1
1945,2023,6,RH,1
1945,2023,7,EE,1
1945,2023,7,EE,1
5516,2023,1,CA,1
5516,2023,1,CA,1
5516,2023,2,CL,1
5516,2023,3,CL,1
5516,2023,5,CA,1
5516,2023,6,CA,1
5516,2023,8,EE,1
6184,2023,1,HC,1
6184,2023,1,CA,1
6184,2023,2,CL,1
6184,2023,5,CA,1
6184,2023,5,CL,1
6184,2023,6,CA,1
6184,2023,6,EE,1
6683,2023,1,CA,1
6683,2023,1,CA,1
6683,2023,2,CF,1
6683,2023,4,CF,1
6683,2023,4,CL,1
6683,2023,4,CL,1
6683,2023,4,CF,1
6683,2023,5,HC,1
6683,2023,5,CF,1
6683,2023,5,EE,1
6683,2023,5,EE,1
6683,2023,5,EE,1
6683,2023,5,EE,1
6683,2023,7,EE,1
6684,2023,1,CL,1
6684,2023,4,CL,1
6684,2023,5,CA,1
6684,2023,6,CL,1
6684,2023,6,CL,1
6684,2023,6,CL,1
6684,2023,6,CL,1
6757,2023,1,CL,1
6757,2023,2,SL,1
6757,2023,3,SL,1
6757,2023,4,SL,1
6757,2023,4,CL,1
6757,2023,4,RH,1
6757,2023,4,SL,1
6757,2023,5,CA,1
6757,2023,5,SL,1
6757,2023,6,SL,1
6846,2023,1,CF,1
6846,2023,3,HC,1
6846,2023,5,CL,1
6846,2023,7,CA,1
6850,2023,2,RH,1
6850,2023,3,CL,1
6850,2023,3,RH,1
6850,2023,3,HC,1
6850,2023,3,CL,1
6850,2023,3,CL,1
6850,2023,3,RH,1
6850,2023,5,CA,1
6850,2023,5,CL,1
6850,2023,5,CA,1
6850,2023,5,CL,1
6850,2023,5,HC,1
6850,2023,7,CA,1
6850,2023,7,CF,1
7101,2023,1,AL,1
7136,2023,3,CA,1
7136,2023,4,CA,1
7136,2023,6,SL,1
7136,2023,6,CL,1
7136,2023,6,CL,1
7136,2023,6,CL,1
7136,2023,7,CL,1
7153,2023,1,CA,1
7153,2023,2,CL,1
7153,2023,2,CA,1
7153,2023,4,CL,1
7153,2023,4,CL,1
9691,2023,1,CL,1
9691,2023,1,CA,1
9691,2023,2,CA,1
9691,2023,3,CL,1
9707,2023,2,CA,1
9707,2023,2,CA,1
9707,2023,2,CL,1
9707,2023,2,CA,1
9707,2023,3,RH,1
9707,2023,3,CL,1
10426,2023,1,CA,1
10426,2023,2,CA,1
10426,2023,3,CA,1
10426,2023,5,CA,1
10426,2023,5,CL,1
10435,2023,1,CL,1
10435,2023,4,CL,1
10435,2023,4,CL,1
10435,2023,6,CL,1
10435,2023,6,CA,1
10558,2023,6,CL,1
10558,2023,6,RH,1
10558,2023,6,RH,1
10558,2023,6,CL,1
10558,2023,6,CL,1
